noun,gender,lang
Afrique,feminine,French
agacerie,feminine,French
agamie,feminine,French
agate,feminine,French
agente,feminine,French
ageustie,feminine,French
agglomération,feminine,French
agglutination,feminine,French
aggravation,feminine,French
aggrégation,feminine,French
agilité,feminine,French
agiographie,feminine,French
agitation,feminine,French
agitprop,feminine,French
Aglukark,feminine,French
agneline,feminine,French
agnelle,feminine,French
Agnès,feminine,French
agnosie,feminine,French
agnostique,feminine,French
agnotologie,feminine,French
agonie,feminine,French
agoraphobie,feminine,French
agrafeuse,feminine,French
agranulocytose,feminine,French
agraphie,feminine,French
agrég,feminine,French
agrégation,feminine,French
agresseuse,feminine,French
agression,feminine,French
agriculture,feminine,French
agripaume,feminine,French
agrobiologie,feminine,French
agrochimie,feminine,French
agrochimiste,feminine,French
agroforesterie,feminine,French
agrologie,feminine,French
agrométéorologie,feminine,French
aguardiente,feminine,French
agueusie,feminine,French
aguille,feminine,French
aiche,feminine,French
aide,feminine,French
aiglette,feminine,French
aiglonne,feminine,French
aigremoine,feminine,French
aigrette,feminine,French
aigreur,feminine,French
aiguille,feminine,French
aiguillette,feminine,French
aiguilleuse,feminine,French
aiguiseuse,feminine,French
aile,feminine,French
ailurophile,feminine,French
ailurophobie,feminine,French
aine,feminine,French
aînée,feminine,French
aînesse,feminine,French
ædile,masculine,French
aegagropile,masculine,French
aegosome,masculine,French
Ægyptien,masculine,French
Æmile,masculine,French
æmulateur,masculine,French
ænigme,masculine,French
æon,masculine,French
æquateur,masculine,French
æquilibre,masculine,French
æquinoxe,masculine,French
aérateur,masculine,French
aérium,masculine,French
aéro,masculine,French
aéroclasseur,masculine,French
aérodrome,masculine,French
aérodynamicien,masculine,French
aérodynamisme,masculine,French
aérogel,masculine,French
aéroglisseur,masculine,French
aérogramme,masculine,French
aérographe,masculine,French
aérolite,masculine,French
aéromodélisme,masculine,French
aéromodéliste,masculine,French
aéronaute,masculine,French
aéronef,masculine,French
Aéronien,masculine,French
aérophane,masculine,French
aérophile,masculine,French
aérophone,masculine,French
aérophore,masculine,French
aéroplane,masculine,French
aéroport,masculine,French
aéroréfrigérant,masculine,French
aérosol,masculine,French
aérostat,masculine,French
aérostathonion,masculine,French
aérostatier,masculine,French
aérostier,masculine,French
æther,masculine,French
Æthiopien,masculine,French
affabulateur,masculine,French
affacturage,masculine,French
affadissement,masculine,French
affaiblissement,masculine,French
affairement,masculine,French
affairiste,masculine,French
affaissement,masculine,French
affaitage,masculine,French
affamement,masculine,French
affameur,masculine,French
affenage,masculine,French
affenpinscher,masculine,French
affermage,masculine,French
affermissement,masculine,French
affichage,masculine,French
afficheur,masculine,French
affichiste,masculine,French
afficionado,masculine,French
affilage,masculine,French
affinage,masculine,French
affinement,masculine,French
affineur,masculine,French
affixe,masculine,French
affleurement,masculine,French
afflouage,masculine,French
affluent,masculine,French
affolement,masculine,French
affouche,masculine,French
affouillement,masculine,French
affranchissement,masculine,French
affréteur,masculine,French
affûtage,masculine,French
affûteur,masculine,French
africanisme,masculine,French
africaniste,masculine,French
age,masculine,French
âge,masculine,French
agencement,masculine,French
agenceur,masculine,French
agenda,masculine,French
agent,masculine,French
agérate,masculine,French
agglomérat,masculine,French
agiotage,masculine,French
agioteur,masculine,French
agissement,masculine,French
baasiste,feminine,French
baassiste,feminine,French
baathiste,feminine,French
babacool,feminine,French
babeluttes,feminine,French
babésiose,feminine,French
babiche,feminine,French
babine,feminine,French
babiole,feminine,French
babouche,feminine,French
Babylone,feminine,French
bacante,feminine,French
bacchanale,feminine,French
bacchante,feminine,French
bâche,feminine,French
bachelière,feminine,French
Bachkirie,feminine,French
bachotte,feminine,French
bacillose,feminine,French
bacologie,feminine,French
bactéridie,feminine,French
bactérie,feminine,French
bactériémie,feminine,French
bactériocécidie,feminine,French
bactériologie,feminine,French
bactériologiste,feminine,French
bactériolyse,feminine,French
bactériorhodopsine,feminine,French
badauderie,feminine,French
badigeonneuse,feminine,French
badine,feminine,French
badinerie,feminine,French
badiste,feminine,French
agitateur,masculine,French
aglacissage,masculine,French
Aglukark,masculine,French
aglycone,masculine,French
agneau,masculine,French
Agneau,masculine,French
agnelage,masculine,French
agnostique,masculine,French
agoniste,masculine,French
agoranome,masculine,French
agrafage,masculine,French
agrainage,masculine,French
agrandissement,masculine,French
agrandisseur,masculine,French
agrégant,masculine,French
agrégat,masculine,French
Badoise,feminine,French
baffe,feminine,French
bafouille,feminine,French
bafouilleuse,feminine,French
bagarre,feminine,French
bagasse,feminine,French
bagatelle,feminine,French
bagnarde,feminine,French
bagnole,feminine,French
bagosse,feminine,French
bague,feminine,French
baguenaude,feminine,French
baguenaudière,feminine,French
baguette,feminine,French
Bahaméenne,feminine,French
Bahloul,feminine,French
Bahreïnie,feminine,French
Bahreïnienne,feminine,French
baignade,feminine,French
baigneuse,feminine,French
baille,feminine,French
bailleresse,feminine,French
baïonnette,feminine,French
baïoque,feminine,French
Baïse,feminine,French
baiseuse,feminine,French
baisse,feminine,French
baissière,feminine,French
bakélite,feminine,French
Bakélite,feminine,French
Bakinoise,feminine,French
balade,feminine,French
baladeuse,feminine,French
baladodiffusion,feminine,French
balalaïka,feminine,French
balance,feminine,French
Balance,feminine,French
balancelle,feminine,French
balancine,feminine,French
balane,feminine,French
balanite,feminine,French
balanoposthite,feminine,French
balayette,feminine,French
balayeuse,feminine,French
balayure,feminine,French
balbutieuse,feminine,French
Balduc,feminine,French
bale,feminine,French
Bâle,feminine,French
Baléare,feminine,French
Baléares,feminine,French
baleine,feminine,French
balestrille,feminine,French
balèvre,feminine,French
Balinaise,feminine,French
balise,feminine,French
baliste,feminine,French
balistique,feminine,French
balistite,feminine,French
baliverne,feminine,French
balkanisation,feminine,French
balle,feminine,French
ballerine,feminine,French
balletomane,feminine,French
ballotte,feminine,French
ballottine,feminine,French
balloune,feminine,French
balme,feminine,French
balnéation,feminine,French
Bâloise,feminine,French
balourdise,feminine,French
balsamine,feminine,French
Baltique,feminine,French
balzane,feminine,French
bambine,feminine,French
bambochade,feminine,French
bambocharde,feminine,French
bamboche,feminine,French
bambocheuse,feminine,French
bamboula,feminine,French
bambouseraie,feminine,French
banalisation,feminine,French
banane,feminine,French
bananeraie,feminine,French
banche,feminine,French
bandagiste,feminine,French
bandaison,feminine,French
bande,feminine,French
bandelette,feminine,French
Bandelier,feminine,French
banderille,feminine,French
bandoulière,feminine,French
Bandraboua,feminine,French
Bandrele,feminine,French
baasisme,masculine,French
baasiste,masculine,French
baassiste,masculine,French
baathiste,masculine,French
babacool,masculine,French
babeurre,masculine,French
babil,masculine,French
babillage,masculine,French
babord,masculine,French
bâbord,masculine,French
babouviste,masculine,French
babtou,masculine,French
babyboom,masculine,French
babyfoot,masculine,French
Babylonien,masculine,French
bacchanal,masculine,French
Bacchylide,masculine,French
bâchage,masculine,French
bachelier,masculine,French
bachelor,masculine,French
bactériologiste,masculine,French
bactériophage,masculine,French
bactérivore,masculine,French
badaud,masculine,French
Bade,masculine,French
badge,masculine,French
badigeonnage,masculine,French
badigeonneur,masculine,French
badinage,masculine,French
badiste,masculine,French
badlands,masculine,French
bafouilleur,masculine,French
bagage,masculine,French
bagagiste,masculine,French
bagarreur,masculine,French
bagou,masculine,French
Bahamien,masculine,French
bahia,masculine,French
Bahloul,masculine,French
Bahreïni,masculine,French
baht,masculine,French
Baiame,masculine,French
baigneur,masculine,French
bâillement,masculine,French
bailleur,masculine,French
bailliage,masculine,French
baiser,masculine,French
baiseur,masculine,French
baisodrome,masculine,French
baissement,masculine,French
bakchich,masculine,French
bal,masculine,French
baladeur,masculine,French
balafon,masculine,French
balai,masculine,French
balancement,masculine,French
balanite,masculine,French
balanoglosse,masculine,French
balayeur,masculine,French
câbliste,feminine,French
câblodiffusion,feminine,French
caboche,feminine,French
cabriole,feminine,French
cache,feminine,French
cacophonie,feminine,French
balbutieur,masculine,French
baldaquin,masculine,French
Balduc,masculine,French
Baléare,masculine,French
baleineau,masculine,French
baleinier,masculine,French
balisage,masculine,French
baliseur,masculine,French
baliste,masculine,French
balivage,masculine,French
baliveau,masculine,French
baliveur,masculine,French
ballabile,masculine,French
ballast,masculine,French
ballastage,masculine,French
ballerin,masculine,French
balletomane,masculine,French
cade,feminine,French
cadence,feminine,French
cadène,feminine,French
cadenette,feminine,French
cadière,feminine,French
Cadjinne,feminine,French
cadmie,feminine,French
cadreuse,feminine,French
caducité,feminine,French
caduque,feminine,French
Cæcile,feminine,French
cæcilie,feminine,French
cæcité,feminine,French
cage,feminine,French
cagette,feminine,French
caïdat,feminine,French
Caiète,feminine,French
caille,feminine,French
caillera,feminine,French
caillette,feminine,French
Cairote,feminine,French
caisse,feminine,French
caissière,feminine,French
cajolerie,feminine,French
calabasse,feminine,French
calabraise,feminine,French
Calabre,feminine,French
calcination,feminine,French
calcineurine,feminine,French
calcite,feminine,French
calciurie,feminine,French
calculabilité,feminine,French
calebasse,feminine,French
calèche,feminine,French
caléfaction,feminine,French
caléidoscope,feminine,French
calende,feminine,French
calenduline,feminine,French
Californie,feminine,French
calorie,feminine,French
calviniste,feminine,French
calvitie,feminine,French
camarde,feminine,French
Camarde,feminine,French
cambrousse,feminine,French
cambrure,feminine,French
camelote,feminine,French
caméra,feminine,French
camérawoman,feminine,French
camériste,feminine,French
Campanie,feminine,French
campanologie,feminine,French
campanologue,feminine,French
dacite,feminine,French
dacryorrhée,feminine,French
dactylo,feminine,French
dactylographe,feminine,French
dactylographie,feminine,French
dactylologie,feminine,French
dactyloscopie,feminine,French
dadaïste,feminine,French
dadyle,feminine,French
dæmoniaque,feminine,French
dague,feminine,French
daguerréotypie,feminine,French
dahline,feminine,French
daine,feminine,French
dalle,feminine,French
Dalmatie,feminine,French
dalmatienne,feminine,French
dalmatique,feminine,French
daltoniste,feminine,French
Damas,feminine,French
damascène,feminine,French
Damascène,feminine,French
damassure,feminine,French
dame,feminine,French
cabinet,masculine,French
câble,masculine,French
dameuse,feminine,French
damnation,feminine,French
damoiselle,feminine,French
dance,feminine,French
dangerosité,feminine,French
Danièle,feminine,French
danoise,feminine,French
Danoise,feminine,French
danse,feminine,French
dantoniste,feminine,French
Daoust,feminine,French
daphnéine,feminine,French
daphnie,feminine,French
darija,feminine,French
darse,feminine,French
dartrose,feminine,French
database,feminine,French
datation,feminine,French
datavisualisation,feminine,French
date,feminine,French
dation,feminine,French
datolite,feminine,French
datte,feminine,French
daube,feminine,French
daubière,feminine,French
Daudet,feminine,French
dauphine,feminine,French
câbliste,masculine,French
câblogramme,masculine,French
cache,masculine,French
cade,masculine,French
Cadien,masculine,French
Cadjin,masculine,French
cadmate,masculine,French
cadmiage,masculine,French
cador,masculine,French
cadrage,masculine,French
déamination,feminine,French
débandade,feminine,French
débarbouillette,feminine,French
débardeuse,feminine,French
débauche,feminine,French
débaucheuse,feminine,French
débilitation,feminine,French
débrouillardise,feminine,French
débroussailleuse,feminine,French
debte,feminine,French
débutante,feminine,French
décade,feminine,French
décadence,feminine,French
décaféination,feminine,French
décalcification,feminine,French
décalcomanie,feminine,French
décaméride,feminine,French
décantation,feminine,French
décapitalisation,feminine,French
décapitation,feminine,French
Décapole,feminine,French
décapotable,feminine,French
décapsulation,feminine,French
décarboxylation,feminine,French
décarburation,feminine,French
décennie,feminine,French
décentralisation,feminine,French
déception,feminine,French
dèche,feminine,French
déchèterie,feminine,French
déchetterie,feminine,French
cadrat,masculine,French
cafouillage,masculine,French
déchiqueture,feminine,French
déchirure,feminine,French
déchristianisation,feminine,French
déchronologie,feminine,French
décimalisation,feminine,French
décime,feminine,French
décimilliheure,feminine,French
déciseconde,feminine,French
décision,feminine,French
décliniste,feminine,French
déclive,feminine,French
décoction,feminine,French
décohésion,feminine,French
décollation,feminine,French
décolorisation,feminine,French
décommunisation,feminine,French
décompensation,feminine,French
décomposition,feminine,French
décompression,feminine,French
déconfiture,feminine,French
décongélation,feminine,French
décongestion,feminine,French
déconnexion,feminine,French
déconsidération,feminine,French
déconsolidation,feminine,French
déconstruction,feminine,French
décontamination,feminine,French
décontraction,feminine,French
déconvolution,feminine,French
décosaquisation,feminine,French
décote,feminine,French
cagnard,masculine,French
caillage,masculine,French
caillassage,masculine,French
Cairote,masculine,French
cal,masculine,French
calabrais,masculine,French
calame,masculine,French
décousabilité,feminine,French
découverte,feminine,French
décrépitation,feminine,French
décrétale,feminine,French
eau,feminine,French
ébauche,feminine,French
ébène,feminine,French
ébénisterie,feminine,French
ébriosité,feminine,French
ébulliométrie,feminine,French
ébullioscopie,feminine,French
ébullition,feminine,French
éburnation,feminine,French
écaille,feminine,French
écale,feminine,French
écarlate,feminine,French
eccéité,feminine,French
ecchymose,feminine,French
échalote,feminine,French
échancrure,feminine,French
échangiste,feminine,French
écharpe,feminine,French
échasse,feminine,French
échauffourée,feminine,French
échelle,feminine,French
échevine,feminine,French
échinococcose,feminine,French
échinofaune,feminine,French
échinomyie,feminine,French
échographie,feminine,French
écholalie,feminine,French
écholocalisation,feminine,French
écholocation,feminine,French
échoppe,feminine,French
échotière,feminine,French
échotomographie,feminine,French
échouage,feminine,French
dacryocyste,masculine,French
dactyle,masculine,French
dactylo,masculine,French
dactylogramme,masculine,French
dactylographe,masculine,French
dadaïsme,masculine,French
dadaïste,masculine,French
Daech,masculine,French
dæmoniaque,masculine,French
daguerréotype,masculine,French
éclaboussure,feminine,French
éclairagiste,feminine,French
éclaircie,feminine,French
éclaire,feminine,French
éclaireuse,feminine,French
éclisse,feminine,French
éclogite,feminine,French
éclosion,feminine,French
écluse,feminine,French
écochimie,feminine,French
écocité,feminine,French
écoépidémiologie,feminine,French
écœurante,feminine,French
