,French,German,Polish,Spanish
French,0.7607105538140021,0.5642633228840125,0.15464994775339602,0.45977011494252873
German,0.4435933147632312,0.7994428969359332,0.38091922005571033,0.3753481894150418
Polish,0.3516713091922006,0.38857938718662954,0.8983286908077994,0.3683844011142061
Spanish,0.51619644723093,0.4952978056426332,0.3281086729362591,0.7659352142110762
