,French,German,Polish,Spanish
French,0.8039297658862876,0.21948160535117056,0.4995819397993311,0.5112876254180602
German,0.3617614269788183,0.7840022296544036,0.3272017837235229,0.3556298773690078
Polish,0.3341694537346711,0.24052396878483834,0.8620401337792643,0.33277591973244147
Spanish,0.5012541806020067,0.01588628762541806,0.552257525083612,0.7148829431438127
