,French,German,Polish,Spanish
French,0.7126436781609196,0.7063740856844305,0.48693834900731453,0.48171368861024033
German,0.3551532033426184,0.8279944289693594,0.35724233983286907,0.33565459610027853
Polish,0.37395543175487467,0.31197771587743733,0.9449860724233984,0.4115598885793872
Spanish,0.5057471264367817,0.4952978056426332,0.5768025078369906,0.8422152560083594
